id,layer,owner_path,test_path,lab_path,status
ANGEL-CAP-0001,1,src/assessment/governance/,src/assessment/governance/*_test.go,lab/acceptance/p0_control_plane.sh,TESTED
ANGEL-CAP-0002,1,src/assessment/governance/,src/assessment/governance/*_test.go,lab/acceptance/p0_control_plane.sh,TESTED
ANGEL-CAP-0003,1,src/assessment/governance/,src/assessment/governance/*_test.go,lab/acceptance/p0_control_plane.sh,TESTED
ANGEL-CAP-0004,1,src/assessment/governance/,src/assessment/governance/*_test.go,lab/acceptance/p0_control_plane.sh,TESTED
ANGEL-CAP-0034,2,src/assessment/governance/,src/assessment/governance/*_test.go,simulation/fixtures/,TESTED
ANGEL-CAP-0066,3,src/assessment/policy/,src/assessment/policy/*_test.go,scripts/validate_safe_contracts.py,TESTED
ANGEL-CAP-0067,3,src/assessment/policy/,src/assessment/policy/*_test.go,scripts/validate_safe_contracts.py,TESTED
ANGEL-CAP-0068,3,src/assessment/policy/,src/assessment/policy/*_test.go,scripts/validate_safe_contracts.py,TESTED
ANGEL-CAP-0069,3,src/assessment/policy/,src/assessment/policy/*_test.go,scripts/validate_safe_contracts.py,TESTED
ANGEL-CAP-0070,3,src/assessment/policy/,src/assessment/policy/*_test.go,scripts/validate_safe_contracts.py,TESTED
ANGEL-CAP-0098,4,src/assessment/control/,src/assessment/control/*_test.go,src/assessment/simulation/replay/,TESTED
ANGEL-CAP-0099,4,src/assessment/control/,src/assessment/control/*_test.go,src/assessment/simulation/replay/,TESTED
ANGEL-CAP-0163,6,src/assessment/assets/,src/assessment/assets/*_test.go,simulation/fixtures/,TESTED
ANGEL-CAP-0195,7,src/assessment/osint/,src/assessment/osint/*_test.go,lab/services/fixture-http/,TESTED
ANGEL-CAP-0227,8,src/assessment/osint/,src/assessment/osint/*_test.go,lab/services/fixture-http/,TESTED
ANGEL-CAP-0260,9,contracts/,src/assessment/server/api/*_test.go,lab/services/fixture-http/,TESTED
ANGEL-CAP-0292,10,src/assessment/collectors/,src/assessment/collectors/*_test.go,simulation/fixtures/,TESTED
ANGEL-CAP-0324,11,src/assessment/domain/,src/assessment/domain/*_test.go,simulation/fixtures/,TESTED
ANGEL-CAP-0486,16,src/assessment/agent/,src/assessment/agent/*_test.go,simulation/fixtures/,TESTED
ANGEL-CAP-0518,17,src/assessment/metrics/,src/assessment/metrics/*_test.go,lab/acceptance/,TESTED
ANGEL-CAP-0550,18,src/assessment/evidence/,src/assessment/evidence/*_test.go,lab/acceptance/,TESTED
ANGEL-CAP-0583,19,src/assessment/persistence/,src/assessment/persistence/*_test.go,lab/acceptance/,TESTED
ANGEL-CAP-0609,19,src/assessment/persistence/,src/assessment/persistence/*_test.go,lab/acceptance/,TESTED
ANGEL-REQ-0001,19,src/assessment/persistence/,src/assessment/persistence/*_test.go,lab/acceptance/,TESTED
ANGEL-REQ-0070,22,src/assessment/simulation/replay/,src/assessment/simulation/replay/*_test.go,simulation/,TESTED
ANGEL-REQ-0198,25,src/assessment/report/,src/assessment/report/*_test.go,lab/acceptance/,TESTED
